fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,rank_flag,current_p4p,p4p_flag,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Islam Makhachev,1991-10-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,"welterweight, lightweight",-1,NA,1,NA,-1,1,18,17,3 KO 8 Sub 6 Dec,1,1 KO 0 Sub 0 Dec,16,16,6,3.8,3780,3780,3097,2015-05-23,W - Leo Kuntz,2025-11-15,W - Jack Della Maddalena,2026-08-15,Ian Machado Garry
Justin Gaethje,1988-11-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,United States,male,lightweight,-1,NA,4,NA,-1,4,16,11,7 KO 0 Sub 4 Dec,5,3 KO 2 Sub 0 Dec,3,4,17,1.7,3624,3624,3287,2017-07-07,W - Michael Johnson,2026-06-14,W - Ilia Topuria,NA,NA
Charles Oliveira,1989-10-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,Brazil,male,lightweight,3,NA,15,NA,-1,3,37,25,4 KO 17 Sub 4 Dec,11,5 KO 4 Sub 2 Dec,2,11,21,3.5,3588,3636,3010,2010-08-01,W - Darren Elkins,2026-03-07,W - Max Holloway,NA,NA
Petr Yan,1993-02-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,bantamweight,-1,NA,3,NA,-1,3,16,12,4 KO 0 Sub 8 Dec,4,0 KO 0 Sub 3 Dec,4,7,5,3.5,3532,3532,3059,2018-06-23,W - Teruto Ishihara,2025-12-06,W - Merab Dvalishvili,NA,NA
Khamzat Chimaev,1994-05-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Arab Emirates, Russia, Sweden",male,middleweight,1,NA,12,NA,-1,3,10,9,2 KO 4 Sub 3 Dec,1,0 KO 0 Sub 1 Dec,-1,9,7,3.2,3525,3617,3148,2020-07-15,W - John Phillips,2026-05-09,L - Sean Strickland,NA,NA
Ciryl Gane,1990-04-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,France,male,heavyweight,0,NA,10,NA,0,10,14,11,5 KO 2 Sub 4 Dec,2,0 KO 1 Sub 1 Dec,1,7,5,2.6,3514,3514,3154,2019-08-10,W - Raphael Pessoa,2026-06-14,W - Alex Pereira,NA,NA
Ilia Topuria,1997-01-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Georgia, Spain",male,"lightweight, featherweight",1,NA,5,NA,-1,1,10,9,6 KO 1 Sub 2 Dec,1,1 KO 0 Sub 0 Dec,-1,9,7,3.7,3501,3645,3169,2020-10-10,W - Youssef Zalal,2026-06-14,L - Justin Gaethje,NA,NA
Sean Strickland,1991-02-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,-1,NA,7,NA,-1,7,25,18,5 KO 1 Sub 12 Dec,7,2 KO 0 Sub 5 Dec,2,6,5,4.5,3479,3479,2978,2014-03-15,W - Bubba McDaniel,2026-05-09,W - Khamzat Chimaev,NA,NA
Kamaru Usman,1987-05-11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Nigeria, United States",male,"middleweight, welterweight",9,NA,16,NA,-1,1,19,16,4 KO 1 Sub 11 Dec,3,1 KO 0 Sub 2 Dec,1,15,6,2.8,3478,3722,3165,2015-07-12,W - Hayder Hassan,2025-06-14,W - Joaquin Buckley,2026-07-18,Dricus Du Plessis
Carlos Ulberg,1990-11-07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"New Zealand, Samoa",male,light heavyweight,-1,NA,16,NA,-1,14,11,10,6 KO 1 Sub 3 Dec,1,1 KO 0 Sub 0 Dec,10,10,5,5.7,3477,3477,2909,2021-03-06,L - Kennedy Nzechukwu,2026-04-11,W - Jiri Prochazka,NA,NA
